,Over_All,ball_skills,physical,defence,GK,mental,shooting,passing,hight,wight,age,value
Kingsley Coman,86,88.5,81.14285714285710,28.0,4.2,64.5,73.625,77.66666666666670,180,76,25,81000000
Aymeric Laporte,86,70.5,68.42857142857140,86.5,9.0,76.33333333333330,57.25,73.33333333333330,191,85,27,77000000
João Cancelo,86,85.0,78.85714285714290,80.5,11.6,81.0,69.5,83.0,182,74,27,71500000
Fabinho,86,79.5,72.14285714285710,86.5,9.4,81.16666666666670,68.75,80.33333333333330,188,78,27,73500000
Jamie Vardy,86,80.0,77.71428571428570,48.5,12.4,80.5,77.5,67.66666666666670,179,74,34,33000000
Gerard Moreno,86,85.5,76.42857142857140,42.5,11.2,72.5,80.0,77.66666666666670,180,77,29,68000000
Riyad Mahrez,86,91.0,75.85714285714290,38.0,10.8,69.33333333333330,74.875,79.66666666666670,179,67,30,65500000
Raphaël Varane,86,66.5,72.57142857142860,87.0,10.0,74.33333333333330,52.5,65.33333333333330,191,81,28,68500000
Kalidou Koulibaly,86,66.5,70.28571428571430,89.0,8.6,70.0,34.875,52.0,187,89,30,55500000
Lorenzo Insigne,86,91.5,73.42857142857140,38.5,9.0,65.0,78.375,82.66666666666670,163,59,30,65500000
Koen Casteels,86,18.5,51.0,15.0,83.8,38.166666666666700,21.625,29.0,197,86,29,52000000
Parejo,86,84.0,61.857142857142900,70.0,9.6,79.16666666666670,81.375,89.33333333333330,182,74,32,53500000
Sergio Busquets,86,83.5,59.42857142857140,83.0,9.6,83.66666666666670,61.0,78.0,189,76,33,45000000
Thiago,86,91.0,74.42857142857140,69.0,9.2,81.0,73.625,85.66666666666670,174,70,30,65000000
Jordi Alba,86,83.0,82.28571428571430,76.0,12.0,79.5,66.875,83.0,170,68,32,47000000
Mats Hummels,86,74.0,65.14285714285710,90.0,8.4,79.0,64.125,77.66666666666670,191,96,32,44000000
Samir Handanovič,86,19.5,52.285714285714300,17.5,81.2,41.333333333333300,19.625,31.333333333333300,193,92,37,1700000
Giorgio Chiellini,86,57.0,71.28571428571430,91.0,3.0,69.66666666666670,52.875,65.0,187,85,37,12000000
Matthijs de Ligt,85,69.0,75.57142857142860,84.5,11.2,69.83333333333330,58.875,63.333333333333300,189,89,22,75000000
Marcus Rashford,85,85.0,81.85714285714290,41.5,10.6,73.83333333333330,80.0,77.0,186,70,23,77500000
Lautaro Martínez,85,84.0,85.14285714285710,43.0,9.6,78.33333333333330,76.125,69.0,174,72,24,78000000
Oyarzabal,85,85.0,76.85714285714290,43.5,10.0,69.16666666666670,76.375,79.33333333333330,181,79,24,77500000
Wilfred Ndidi,85,74.5,75.14285714285710,88.5,10.8,79.83333333333330,64.625,68.66666666666670,183,74,24,66500000
Sergej Milinković-Savić,85,85.0,74.85714285714290,78.5,9.4,80.83333333333330,77.125,78.0,191,76,26,66000000
Jorginho,85,83.0,67.28571428571430,74.0,11.2,80.0,70.75,85.33333333333330,180,68,29,52500000
Carvajal,85,80.5,79.85714285714290,82.0,13.0,79.66666666666670,56.875,79.66666666666670,173,73,29,47500000
Memphis Depay,85,85.5,79.42857142857140,27.0,10.0,72.16666666666670,79.5,80.33333333333330,176,78,27,63000000
Roberto Firmino,85,89.5,81.0,59.5,8.8,78.66666666666670,76.5,77.66666666666670,181,76,29,54000000
Stefan de Vrij,85,70.5,71.57142857142860,88.0,10.4,72.5,45.375,65.0,189,78,29,45000000
Antoine Griezmann,85,87.0,82.0,48.5,12.6,79.16666666666670,83.5,83.0,176,73,30,53000000
Koke,85,81.5,74.71428571428570,81.5,10.8,84.16666666666670,72.5,85.0,176,75,29,52500000
Pierre-Emerick Aubameyang,85,80.0,78.57142857142860,24.5,9.6,71.83333333333330,80.625,72.33333333333330,187,80,32,43500000
Kyle Walker,85,80.0,81.0,80.5,11.4,76.83333333333330,68.375,77.66666666666670,183,83,31,39000000
Marco Reus,85,85.5,73.28571428571430,45.0,12.2,73.66666666666670,78.875,83.0,180,71,32,43000000
İlkay Gündoğan,85,87.5,70.42857142857140,75.5,9.6,81.5,76.375,83.66666666666670,180,80,30,51500000
Péter Gulácsi,85,22.0,49.285714285714300,20.5,82.6,39.666666666666700,20.625,27.333333333333300,191,86,31,28500000
Leonardo Bonucci,85,74.0,68.71428571428570,86.5,2.6,74.16666666666670,64.25,68.66666666666670,190,85,34,17500000
Eden Hazard,85,88.5,76.71428571428570,30.5,9.0,71.66666666666670,78.625,81.0,175,74,30,52000000
Edinson Cavani,85,77.5,71.85714285714290,46.5,10.6,79.66666666666670,82.75,65.0,185,77,34,26000000
Manni Sommer,85,20.0,57.285714285714300,14.0,83.2,46.166666666666700,19.375,28.0,183,79,32,26500000
David Silva,85,88.0,67.42857142857140,55.5,9.2,76.33333333333330,73.25,85.33333333333330,173,67,35,22000000
Thiago Silva,85,73.0,68.14285714285710,86.5,9.0,77.0,62.625,73.33333333333330,183,79,37,9500000
Kasper Schmeichel,85,26.0,51.714285714285700,14.0,83.0,46.0,21.375,36.0,189,89,34,9000000
Alejandro Gómez,85,85.5,78.42857142857140,40.0,9.2,72.16666666666670,73.0,82.66666666666670,167,68,33,33500000
Phil Foden,84,87.0,74.42857142857140,58.5,10.4,75.66666666666670,67.5,79.0,171,69,21,94500000
Kai Havertz,84,85.5,76.71428571428570,42.5,9.4,68.33333333333330,75.0,78.0,188,82,22,94500000
Theo Hernández,84,81.0,82.28571428571430,76.5,8.6,79.66666666666670,67.875,76.66666666666670,184,81,23,62500000
Franck Yannick Kessié,84,81.0,79.71428571428570,84.5,10.8,80.5,69.0,74.66666666666670,183,88,24,49500000
André Silva,84,84.5,77.57142857142860,38.0,10.6,77.5,77.125,67.33333333333330,185,84,25,51000000
Marcos Acuña,84,87.5,79.85714285714290,82.0,12.4,82.66666666666670,74.25,82.33333333333330,172,69,29,37000000
Nicolò Barella,84,85.0,82.71428571428570,74.5,10.8,83.83333333333330,69.125,78.0,172,68,24,63500000
Leroy Sané,84,85.5,77.85714285714290,34.0,10.4,70.33333333333330,79.875,76.0,183,80,25,56000000
Nabil Fekir,84,87.5,80.57142857142860,38.0,12.2,74.33333333333330,76.625,80.33333333333330,173,75,28,45000000
José María Giménez,84,60.0,67.28571428571430,87.0,10.4,66.0,48.5,61.333333333333300,185,79,26,52000000
Stahl Tielemans,84,82.0,69.42857142857140,71.5,10.0,79.66666666666670,78.0,86.33333333333330,176,72,24,57000000
Marcelo Brozović,84,80.0,76.0,79.0,10.0,79.0,73.75,80.33333333333330,181,68,28,37000000
Mike Maignan,84,36.0,55.0,19.5,83.8,46.166666666666700,23.875,39.666666666666700,191,89,26,49500000
Timo Werner,84,83.0,80.42857142857140,29.5,10.0,70.33333333333330,76.125,67.66666666666670,180,76,25,56500000
Ricardo Pereira,84,82.0,79.14285714285710,82.0,13.0,79.16666666666670,65.125,80.33333333333330,175,70,27,40500000
Raphaël Guerreiro,84,87.5,73.0,79.0,9.0,78.5,71.125,84.66666666666670,170,71,27,40500000
Hakim Ziyech,84,84.0,70.14285714285710,50.0,10.2,76.5,74.25,87.66666666666670,181,65,28,42500000
Filip Kostić,84,83.5,80.85714285714290,70.5,12.8,77.5,73.75,82.0,184,82,28,42500000
Pantić Carrasco,84,86.5,78.42857142857140,45.5,9.8,70.66666666666670,76.5,77.66666666666670,185,73,28,45000000
Felipe,84,60.5,69.42857142857140,85.5,10.0,69.0,45.25,62.333333333333300,190,84,32,27500000
Matthias Ginter,84,68.0,66.14285714285710,88.0,9.2,73.66666666666670,58.125,75.0,191,86,27,42500000
Jack Grealish,84,88.5,72.28571428571430,48.5,10.2,72.83333333333330,68.875,82.66666666666670,180,81,26,50500000
Marcel Sabitzer,84,80.5,77.57142857142860,70.5,13.2,79.16666666666670,78.125,79.66666666666670,178,76,27,48000000
Stefan Savić,84,57.0,64.71428571428570,88.0,13.2,70.0,39.75,60.0,187,80,30,34500000
Harry Maguire,84,73.5,64.0,85.0,12.4,78.33333333333330,55.875,71.0,194,100,28,42500000
Emiliano Martínez,84,24.0,54.857142857142900,15.5,83.6,44.666666666666700,27.125,41.0,195,88,29,33500000
Josip Iličić,84,88.0,68.42857142857140,36.5,10.4,72.66666666666670,81.125,81.66666666666670,190,79,33,27000000
Lucas Digne,84,81.0,79.85714285714290,80.5,9.2,78.33333333333330,73.0,80.66666666666670,178,74,28,40500000
Wissam Ben Yedder,84,87.0,81.14285714285710,33.5,8.4,74.5,80.875,74.0,170,68,31,41500000
Dušan Tadić,84,86.0,74.85714285714290,42.5,12.2,73.16666666666670,79.375,84.33333333333330,181,76,32,33500000
Luis Alberto,84,88.0,66.28571428571430,58.0,8.6,68.0,72.125,83.66666666666670,183,74,29,42500000
De Gea,84,28.0,55.142857142857100,23.0,81.4,47.833333333333300,23.125,36.0,192,76,30,28000000
Iago Aspas,84,86.5,74.42857142857140,30.0,12.4,72.66666666666670,81.625,77.66666666666670,176,67,34,27000000
Kieran Trippier,84,78.0,75.14285714285710,80.0,10.8,77.83333333333330,71.25,82.33333333333330,173,69,31,36500000
Fernando,84,74.5,71.85714285714290,84.5,5.8,77.66666666666670,62.5,75.0,183,76,34,21000000
Jordan Henderson,84,80.5,73.14285714285710,80.0,9.8,81.5,72.375,84.66666666666670,182,80,31,29500000
Georginio Wijnaldum,84,86.5,82.0,79.5,10.8,80.83333333333330,75.25,80.0,175,74,30,40500000
Dries Mertens,84,88.0,73.71428571428570,31.5,7.8,70.33333333333330,74.75,76.33333333333330,169,61,34,20500000
Piqué,84,71.5,61.285714285714300,85.5,11.6,79.0,61.125,72.33333333333330,194,85,34,13500000
Jesús Navas,84,83.5,74.85714285714290,79.5,11.0,80.83333333333330,67.625,82.33333333333330,172,60,35,13000000
Zlatan Ibrahimović,84,82.0,67.42857142857140,32.5,11.8,75.0,83.875,75.0,195,95,39,14500000
Jules Koundé,83,71.5,78.57142857142860,85.0,11.2,72.83333333333330,44.625,66.66666666666670,181,75,22,53000000
Federico Valverde,83,80.5,77.57142857142860,79.5,9.0,80.66666666666670,69.25,78.33333333333330,182,78,23,58000000
Federico Chiesa,83,85.5,79.85714285714290,54.5,7.4,69.33333333333330,71.375,74.33333333333330,175,70,23,80500000
Édouard Mendy,83,22.0,41.42857142857140,10.5,81.6,37.0,16.5,31.666666666666700,197,86,29,30000000
Mason Mount,83,83.5,71.14285714285710,55.5,11.2,76.5,75.0,83.66666666666670,178,70,22,58500000
Ousmane Dembélé,83,86.5,76.14285714285710,36.0,9.8,66.83333333333330,71.75,78.33333333333330,178,67,24,55000000
Gabriel Jesus,83,86.0,82.0,37.5,9.6,72.33333333333330,75.125,69.66666666666670,175,73,24,52500000
Arthur,83,88.5,75.28571428571430,73.5,11.0,78.66666666666670,67.625,84.0,171,73,25,47000000
Ronaldo Cabrais,83,84.0,79.85714285714290,29.5,13.0,72.0,76.875,82.66666666666670,177,75,29,35500000
Aaron Wan-Bissaka,83,78.0,78.0,82.5,7.8,76.16666666666670,52.375,69.0,183,72,23,48500000
Presnel Kimpembe,83,70.5,76.71428571428570,83.5,10.6,74.16666666666670,48.75,71.33333333333330,189,80,26,45500000
Merino,83,83.5,77.14285714285710,82.0,11.4,81.66666666666670,73.375,81.0,189,83,25,50000000
Robin Gosens,83,81.0,79.0,76.5,12.8,77.66666666666670,69.125,79.66666666666670,183,76,27,36000000
Wout Weghorst,83,72.0,68.85714285714290,55.5,12.4,73.66666666666670,71.25,53.666666666666700,197,84,29,37000000
Marco Asensio,83,85.0,73.71428571428570,41.0,10.0,68.5,75.5,80.66666666666670,182,76,25,48000000
Lucas Hernández,83,70.5,75.85714285714290,85.0,9.8,76.16666666666670,54.25,71.66666666666670,184,79,25,44500000
Angeliño,83,84.0,77.71428571428570,75.5,11.6,79.66666666666670,70.125,83.33333333333330,175,69,24,46000000
Andrej Kramarić,83,86.5,75.57142857142860,27.5,11.6,70.16666666666670,82.25,73.33333333333330,177,73,30,35500000
Duván Abdulkareem,83,80.5,76.0,34.0,8.0,68.0,73.375,55.0,189,88,30,35500000
Ángel Correa,83,87.5,78.57142857142860,47.5,11.2,75.83333333333330,75.625,74.33333333333330,171,70,26,48000000
Pierre-Emile Højbjerg,83,78.0,68.42857142857140,84.0,10.0,78.5,68.5,76.33333333333330,185,84,26,43500000
Thomas Lemar,83,87.0,76.28571428571430,57.0,12.0,75.33333333333330,74.375,80.66666666666670,171,66,25,48000000
Gayà,83,80.5,76.0,80.5,10.6,77.83333333333330,59.875,78.66666666666670,172,66,26,43500000
Thomas Partey,83,83.5,73.14285714285710,82.0,9.8,81.33333333333330,67.75,82.0,185,77,28,36500000
Mateo Kovačić,83,89.0,75.71428571428570,71.5,6.8,78.16666666666670,67.625,81.66666666666670,176,80,27,41500000
Lucas Ocampos,83,84.5,79.14285714285710,59.5,10.6,80.66666666666670,79.0,77.0,188,84,27,39500000
Antonio Rüdiger,83,64.5,70.71428571428570,85.5,11.8,70.83333333333330,49.25,72.33333333333330,190,85,28,34500000
Jordan Pickford,83,27.0,57.0,20.5,82.8,50.166666666666700,26.375,42.666666666666700,185,77,27,33000000
Raúl Jiménez,83,83.0,74.71428571428570,41.5,11.0,76.5,78.375,76.33333333333330,188,81,30,35500000
Nick Pope,83,19.5,51.285714285714300,14.5,81.2,42.666666666666700,19.625,26.0,199,76,29,25000000
John Stones,83,77.5,71.14285714285710,84.5,10.2,74.0,52.5,73.33333333333330,188,76,27,41000000
Leonardo Spinazzola,83,81.5,78.57142857142860,79.5,13.0,75.16666666666670,61.25,75.33333333333330,186,75,28,33000000
Mauro Icardi,83,78.0,73.14285714285710,34.5,8.6,68.33333333333330,77.875,59.0,181,75,28,37000000
Morata,83,83.0,77.14285714285710,25.5,4.4,69.33333333333330,74.875,70.0,190,84,28,37000000
Kevin Volland,83,80.0,79.71428571428570,36.0,8.6,77.33333333333330,81.125,77.66666666666670,179,85,29,37000000
Allan,83,81.5,76.42857142857140,84.5,8.8,81.66666666666670,62.125,78.33333333333330,175,74,30,30500000
Francesco Acerbi,83,68.5,62.142857142857100,87.0,10.6,69.66666666666670,60.375,59.666666666666700,192,88,33,17500000
Sebastián Coates,83,67.5,62.0,85.5,14.6,71.83333333333330,49.375,54.333333333333300,196,92,30,30000000
Joel Matip,83,70.5,61.857142857142900,86.0,10.6,75.66666666666670,51.375,68.33333333333330,194,90,30,30500000
Juan Cuadrado,83,87.5,82.71428571428570,77.5,7.6,75.66666666666670,73.125,78.0,179,72,33,19000000
Henrikh Mkhitaryan,83,83.5,80.14285714285710,52.0,8.4,76.83333333333330,75.875,77.0,177,75,32,29500000
Kostas Manolas,83,60.0,76.28571428571430,85.0,9.8,63.833333333333300,29.875,51.0,189,83,30,30000000
Bernd Leno,83,25.5,56.142857142857100,21.0,81.8,42.666666666666700,17.875,35.666666666666700,190,83,29,28000000
Alex Sandro,83,79.5,79.28571428571430,78.0,8.0,76.0,68.25,78.66666666666670,180,80,30,31500000
Lukáš Hrádecký,83,15.0,46.0,10.0,80.4,40.166666666666700,17.875,24.666666666666700,192,83,31,19000000
Canales,83,82.5,74.0,67.5,13.6,80.33333333333330,75.875,84.0,176,65,30,34500000
Muniain,83,87.0,77.85714285714290,56.5,9.0,73.0,70.25,80.0,170,66,28,36500000
Azpilicueta,83,72.5,71.71428571428570,85.0,8.6,78.16666666666670,61.75,79.66666666666670,178,77,32,25000000
Toby Alderweireld,83,68.5,66.42857142857140,87.0,13.2,74.83333333333330,60.0,74.0,186,81,32,
Jérôme Boateng,83,67.5,67.28571428571430,84.0,9.0,76.66666666666670,54.375,76.33333333333330,190,94,33,23500000
Edin Džeko,83,82.0,67.42857142857140,41.0,12.6,73.0,74.375,72.66666666666670,193,80,35,15500000
Simon Kjær,83,60.0,67.42857142857140,86.0,10.8,66.83333333333330,59.25,66.0,190,86,32,23500000
Sergio Asenjo,83,14.5,60.0,19.5,82.0,40.666666666666700,21.75,34.0,189,87,32,18000000
Axel Witsel,83,79.5,71.14285714285710,81.0,7.2,80.83333333333330,74.125,80.66666666666670,186,81,32,24000000
Fernandinho,83,78.5,70.0,86.0,9.6,79.0,70.75,77.33333333333330,179,67,36,7000000
Dani Olmo,82,86.0,70.85714285714290,50.0,13.2,73.0,70.25,80.33333333333330,179,72,23,46000000
Dominik Livaković,82,23.5,53.42857142857140,22.0,79.6,43.666666666666700,17.25,38.333333333333300,187,79,26,35000000
Pau Torres,82,71.5,71.71428571428570,84.0,11.8,70.5,45.875,70.33333333333330,191,80,24,56500000
Ferran Torres,82,82.5,77.28571428571430,29.5,11.8,68.33333333333330,72.5,78.33333333333330,184,77,21,68500000
Éder Militão,82,71.5,78.28571428571430,83.0,12.2,74.33333333333330,53.375,73.0,186,78,23,56500000
Tomáš Souček,82,75.5,73.85714285714290,81.5,8.6,77.5,68.0,75.33333333333330,192,86,26,36000000
Tanguy Ndombele,82,88.0,74.28571428571430,70.0,9.2,78.66666666666670,67.625,80.33333333333330,179,76,24,46000000
J. Femenías En-Nesyri,82,81.5,72.14285714285710,29.0,11.6,65.83333333333330,73.0,58.333333333333300,188,78,24,44000000
Florian Neuhaus,82,83.5,69.57142857142860,67.0,10.6,74.33333333333330,63.375,80.33333333333330,185,74,24,46000000
Alphonso Davies,82,82.0,83.85714285714290,75.5,9.4,75.5,61.875,71.0,183,75,20,57000000
Alexander Isak,82,80.5,75.42857142857140,23.0,8.0,66.83333333333330,75.75,62.333333333333300,192,77,22,45000000
Raphinha,82,84.5,81.42857142857140,49.5,10.0,74.83333333333330,72.125,74.66666666666670,176,68,24,46000000
Denzel Dumfries,82,72.5,80.42857142857140,77.0,10.8,74.16666666666670,54.875,70.66666666666670,188,80,25,35000000
Cristian Romero,82,59.0,77.71428571428570,83.5,9.4,68.33333333333330,49.125,52.333333333333300,185,79,23,41500000
Richarlison,82,84.5,80.57142857142860,51.5,10.2,75.0,75.875,71.0,181,71,24,46500000
Unai Simón,82,14.0,51.0,14.5,80.8,37.5,22.125,31.0,190,89,24,34500000
Josué Chiamulera,82,63.0,73.57142857142860,86.0,13.8,68.0,51.125,58.333333333333300,185,80,29,25500000
Raphaelinho Anjos,82,15.0,47.57142857142860,18.5,80.2,46.166666666666700,16.625,14.666666666666700,190,85,33,10000000
Ben Chilwell,82,79.5,76.71428571428570,78.5,9.6,75.33333333333330,57.875,78.0,178,77,24,40500000
Leon Bailey,82,84.0,81.28571428571430,35.0,12.0,65.33333333333330,74.5,71.0,178,77,24,43500000
Dayot Upamecano,82,69.0,75.14285714285710,81.0,9.0,68.83333333333330,43.375,65.33333333333330,186,90,22,64000000
Palhinha,82,75.0,68.42857142857140,86.0,9.2,78.16666666666670,62.5,71.0,190,82,26,41000000
Christian Pulisic,82,86.5,80.28571428571430,35.0,12.6,65.83333333333330,64.375,70.0,177,69,23,49000000
Fabián,82,84.5,66.42857142857140,74.0,12.0,77.66666666666670,71.75,78.33333333333330,189,70,25,42000000
Joe Gomez,82,70.0,73.42857142857140,83.5,9.8,72.0,35.875,70.66666666666670,188,77,24,43500000
Diogo Jota,82,85.0,81.42857142857140,55.5,10.8,78.0,74.5,72.33333333333330,178,73,24,46000000
Rúben Neves,82,79.0,67.42857142857140,76.5,11.2,79.33333333333330,77.0,83.66666666666670,180,80,24,46000000
Martin Ødegaard,82,85.0,71.85714285714290,57.0,12.4,73.33333333333330,72.25,82.66666666666670,178,68,22,49000000
Manuel Locatelli,82,79.0,69.0,81.0,11.8,77.66666666666670,68.75,79.33333333333330,185,75,23,42000000
James Maddison,82,85.0,71.14285714285710,62.0,13.0,73.16666666666670,73.25,82.33333333333330,175,73,24,41500000
Clément Lenglet,82,66.0,72.14285714285710,82.0,9.6,73.66666666666670,50.0,69.0,186,81,26,37500000
Ante Rebić,82,83.0,77.57142857142860,49.0,13.4,72.66666666666670,76.625,74.0,185,78,28,32500000
Diego Carlos,82,68.0,73.85714285714290,81.0,9.8,73.5,54.25,61.666666666666700,185,86,28,30500000
Rafa,82,85.5,78.14285714285710,49.5,10.2,71.16666666666670,65.875,72.33333333333330,170,63,28,30500000
Rodrigo Javier De Paul,82,83.0,78.28571428571430,73.5,11.2,77.0,72.0,78.33333333333330,180,70,27,35000000
Alex Telles,82,78.5,77.28571428571430,77.5,11.6,77.66666666666670,76.25,83.0,181,71,28,27500000
Niklas Süle,82,52.5,55.285714285714300,83.5,11.6,67.0,46.0,60.333333333333300,195,99,26,40500000
Pierluigi Gollini,82,21.0,51.714285714285700,16.0,80.8,36.5,22.0,24.333333333333300,194,94,26,35000000
Nicolás Tagliafico,82,75.0,81.71428571428570,80.5,12.6,76.66666666666670,55.5,76.0,172,65,29,27500000
Domenico Berardi,82,85.5,75.42857142857140,36.0,5.4,71.0,76.5,80.33333333333330,183,72,27,33500000
Alessio Romagnoli,82,70.0,67.28571428571430,86.5,10.4,67.0,42.5,60.333333333333300,185,75,26,31500000
Grimaldo,82,83.0,80.0,73.5,10.0,78.16666666666670,69.625,81.33333333333330,171,69,26,37000000
Á. Mena Bounou,82,16.0,43.857142857142900,19.0,80.4,40.666666666666700,21.5,32.666666666666700,192,78,30,20500000
Marten de Roon,82,73.5,73.57142857142860,83.0,12.0,78.0,67.625,73.66666666666670,185,76,30,25500000
Saúl,82,81.0,75.0,77.5,10.2,79.5,74.75,78.33333333333330,184,75,26,39500000
Emre Can,82,80.5,80.28571428571430,84.0,10.8,81.16666666666670,74.5,78.33333333333330,186,86,27,35000000
Hakan Çalhanoğlu,82,87.0,66.14285714285710,59.0,10.0,73.0,76.75,83.0,178,76,27,35000000
Portu,82,79.0,83.0,58.0,13.4,76.16666666666670,73.125,77.0,167,66,29,30000000
Juan Bernat,82,82.0,78.57142857142860,78.0,11.2,78.0,61.625,79.0,170,67,28,27500000
Thorgan Hazard,82,84.5,77.42857142857140,52.5,7.4,73.5,73.5,78.33333333333330,175,71,28,30500000
Suso,82,87.5,70.14285714285710,35.5,11.2,61.833333333333300,74.875,81.0,176,70,27,32500000
Jordan Veretout,82,79.0,78.71428571428570,80.0,9.4,77.5,73.5,78.0,177,67,28,29500000
Gabriel Paulista,82,64.5,73.28571428571430,83.0,11.6,73.33333333333330,54.5,73.66666666666670,185,72,30,25000000
Campaña,82,84.0,72.0,73.5,8.4,76.5,73.5,82.33333333333330,179,70,28,30500000
Anthony Lopes,82,18.0,63.857142857142900,14.0,79.6,45.666666666666700,20.375,27.333333333333300,184,81,30,23000000
Luis Muriel,82,85.5,79.28571428571430,25.0,9.6,65.5,80.25,68.66666666666670,179,79,30,30000000
Wilfried Chanza,82,88.5,79.14285714285710,32.0,12.2,68.66666666666670,66.625,72.33333333333330,180,66,28,31000000
Isco,82,90.5,68.71428571428570,61.0,10.2,72.5,72.875,79.66666666666670,176,79,29,30000000
Neto,82,21.5,57.57142857142860,15.5,80.0,41.666666666666700,20.875,29.333333333333300,190,84,32,16000000
Oliver Baumann,82,18.0,52.42857142857140,16.5,80.2,39.666666666666700,19.375,23.0,187,82,31,16000000
Mário Fernandes,82,79.5,78.28571428571430,79.0,12.8,76.33333333333330,59.375,75.66666666666670,187,80,31,26500000
